state,district_number,year,democratic_vote_percentage,republican_vote_percentage,efficiency_gap,bias
CALIFORNIA,14,1978,44.39,55.61,0.048,0.042
CALIFORNIA,15,1978,60.11,39.89,0.048,0.042
CALIFORNIA,16,1978,61.37,38.63,0.048,0.042
CALIFORNIA,17,1978,45.51,54.49,0.048,0.042
CALIFORNIA,18,1978,40.74,59.26,0.048,0.042
CALIFORNIA,19,1978,25.28,74.72,0.048,0.042
CALIFORNIA,20,1978,33.62,66.38,0.048,0.042
CALIFORNIA,21,1978,62.4,37.6,0.048,0.042
CALIFORNIA,22,1978,35.36,64.64,0.048,0.042
CALIFORNIA,23,1978,65.64,34.36,0.048,0.042
CALIFORNIA,24,1978,65.79,34.21,0.048,0.042
CALIFORNIA,25,1978,67.39,32.61,0.048,0.042
CALIFORNIA,26,1978,0.0,100.0,0.048,0.042
CALIFORNIA,27,1978,49.0,51.0,0.048,0.042
CALIFORNIA,28,1978,100.0,0.0,0.048,0.042
CALIFORNIA,29,1978,85.0,15.0,0.048,0.042
CALIFORNIA,30,1978,71.42,28.58,0.048,0.042
CALIFORNIA,31,1978,67.76,32.24,0.048,0.042
CALIFORNIA,32,1978,76.1,23.9,0.048,0.042
CALIFORNIA,33,1978,44.02,55.98,0.048,0.042
CALIFORNIA,34,1978,44.84,55.16,0.048,0.042
CALIFORNIA,35,1978,54.01,45.99,0.048,0.042
CALIFORNIA,36,1978,62.92,37.08,0.048,0.042
CALIFORNIA,37,1978,36.2,63.8,0.048,0.042
CALIFORNIA,38,1978,58.61,41.39,0.048,0.042
CALIFORNIA,39,1978,36.29,63.71,0.048,0.042
CALIFORNIA,40,1978,34.05,65.95,0.048,0.042
CALIFORNIA,41,1978,41.86,58.14,0.048,0.042
CALIFORNIA,42,1978,73.74,26.26,0.048,0.042
CALIFORNIA,43,1978,31.34,68.66,0.048,0.042
FLORIDA,1,1978,63.26,36.74,0.108,0.127
FLORIDA,2,1978,81.75,18.25,0.108,0.127
FLORIDA,3,1978,100.0,0.0,0.108,0.127
FLORIDA,4,1978,73.12,26.88,0.108,0.127
FLORIDA,5,1978,48.93,51.07,0.108,0.127
FLORIDA,6,1978,21.25,78.75,0.108,0.127
FLORIDA,7,1978,100.0,0.0,0.108,0.127
FLORIDA,8,1978,100.0,0.0,0.108,0.127
FLORIDA,9,1978,61.49,38.51,0.108,0.127
FLORIDA,10,1978,0.0,100.0,0.108,0.127
FLORIDA,11,1978,55.29,44.71,0.108,0.127
FLORIDA,12,1978,61.64,38.36,0.108,0.127
FLORIDA,13,1978,100.0,0.0,0.108,0.127
FLORIDA,14,1978,63.13,36.87,0.108,0.127
FLORIDA,15,1978,74.17,25.83,0.108,0.127
GEORGIA,1,1978,100.0,0.0,0.14,0.115
GEORGIA,2,1978,100.0,0.0,0.14,0.115
GEORGIA,3,1978,100.0,0.0,0.14,0.115
GEORGIA,4,1978,80.91,19.09,0.14,0.115
GEORGIA,5,1978,75.48,24.52,0.14,0.115
GEORGIA,6,1978,45.59,54.41,0.14,0.115
GEORGIA,7,1978,66.52,33.48,0.14,0.115
GEORGIA,8,1978,100.0,0.0,0.14,0.115
GEORGIA,9,1978,76.93,23.07,0.14,0.115
GEORGIA,10,1978,100.0,0.0,0.14,0.115
ILLINOIS,1,1978,58.65,41.35,-0.049,-0.078
ILLINOIS,2,1978,87.93,12.07,-0.049,-0.078
ILLINOIS,3,1978,65.19,34.81,-0.049,-0.078
ILLINOIS,4,1978,33.13,66.87,-0.049,-0.078
ILLINOIS,5,1978,84.0,16.0,-0.049,-0.078
ILLINOIS,6,1978,33.81,66.19,-0.049,-0.078
ILLINOIS,7,1978,86.3,13.7,-0.049,-0.078
ILLINOIS,8,1978,85.96,14.04,-0.049,-0.078
ILLINOIS,9,1978,75.33,24.67,-0.049,-0.078
ILLINOIS,10,1978,50.18,49.82,-0.049,-0.078
ILLINOIS,11,1978,73.73,26.27,-0.049,-0.078
ILLINOIS,12,1978,20.46,79.54,-0.049,-0.078
ILLINOIS,13,1978,38.84,61.16,-0.049,-0.078
ILLINOIS,14,1978,24.93,75.07,-0.049,-0.078
ILLINOIS,15,1978,37.62,62.38,-0.049,-0.078
ILLINOIS,16,1978,34.52,65.48,-0.049,-0.078
ILLINOIS,17,1978,29.38,70.62,-0.049,-0.078
ILLINOIS,18,1978,34.12,65.88,-0.049,-0.078
ILLINOIS,19,1978,0.0,100.0,-0.049,-0.078
ILLINOIS,20,1978,30.36,69.64,-0.049,-0.078
ILLINOIS,21,1978,21.73,78.27,-0.049,-0.078
ILLINOIS,22,1978,46.01,53.99,-0.049,-0.078
ILLINOIS,23,1978,74.17,25.83,-0.049,-0.078
ILLINOIS,24,1978,65.63,34.37,-0.049,-0.078
INDIANA,1,1978,80.6,19.4,0.087,-0.002
INDIANA,2,1978,60.93,39.07,0.087,-0.002
INDIANA,3,1978,56.2,43.8,0.087,-0.002
INDIANA,4,1978,34.41,65.59,0.087,-0.002
INDIANA,5,1978,32.39,67.61,0.087,-0.002
INDIANA,6,1978,52.28,47.72,0.087,-0.002
INDIANA,7,1978,43.69,56.31,0.087,-0.002
INDIANA,8,1978,48.01,51.99,0.087,-0.002
INDIANA,9,1978,65.63,34.37,0.087,-0.002
INDIANA,10,1978,56.7,43.3,0.087,-0.002
INDIANA,11,1978,57.31,42.69,0.087,-0.002
KENTUCKY,1,1978,100.0,0.0,0.048,0.116
KENTUCKY,2,1978,100.0,0.0,0.048,0.116
KENTUCKY,3,1978,67.74,32.26,0.048,0.116
KENTUCKY,4,1978,34.16,65.84,0.048,0.116
KENTUCKY,5,1978,20.83,79.17,0.048,0.116
KENTUCKY,6,1978,47.66,52.34,0.048,0.116
KENTUCKY,7,1978,76.47,23.53,0.048,0.116
MARYLAND,1,1978,36.5,63.5,-0.017,0.043
MARYLAND,2,1978,66.4,33.6,-0.017,0.043
MARYLAND,3,1978,100.0,0.0,-0.017,0.043
MARYLAND,4,1978,37.96,62.04,-0.017,0.043
MARYLAND,5,1978,77.2,22.8,-0.017,0.043
MARYLAND,6,1978,89.67,10.33,-0.017,0.043
MARYLAND,7,1978,100.0,0.0,-0.017,0.043
